---,SK_Mesh,Material
SK_GOBL_BASE_01_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_01_36TETH_GO01.SK_GOBL_BASE_01_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_02_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_02_36TETH_GO01.SK_GOBL_BASE_02_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_03_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_03_36TETH_GO01.SK_GOBL_BASE_03_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_04_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_04_36TETH_GO01.SK_GOBL_BASE_04_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_05_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_05_36TETH_GO01.SK_GOBL_BASE_05_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_06_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_06_36TETH_GO01.SK_GOBL_BASE_06_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_07_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_07_36TETH_GO01.SK_GOBL_BASE_07_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_08_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_08_36TETH_GO01.SK_GOBL_BASE_08_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_09_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_09_36TETH_GO01.SK_GOBL_BASE_09_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_BASE_10_36TETH_GO01,/Game/Sidekicks/Species/Goblins/SK_GOBL_BASE_10_36TETH_GO01.SK_GOBL_BASE_10_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
