---,SK_Mesh,Material
SK_GOBL_FIGT_01_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_36TETH_GO01.SK_GOBL_FIGT_01_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_36TETH_GO01.SK_GOBL_FIGT_02_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_36TETH_GO01.SK_GOBL_FIGT_03_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_36TETH_GO01.SK_GOBL_FIGT_04_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_36TETH_GO01.SK_GOBL_FIGT_05_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_36TETH_GO01.SK_GOBL_FIGT_06_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_36TETH_GO01.SK_GOBL_FIGT_07_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_36TETH_GO01.SK_GOBL_FIGT_08_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_36TETH_GO01.SK_GOBL_FIGT_09_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_36TETH_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_36TETH_GO01.SK_GOBL_FIGT_10_36TETH_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
