---,SK_Mesh,Material
SK_HUMN_BASE_01_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_01_36TETH_HU01.SK_HUMN_BASE_01_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_02_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_02_36TETH_HU01.SK_HUMN_BASE_02_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_03_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_03_36TETH_HU01.SK_HUMN_BASE_03_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_04_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_04_36TETH_HU01.SK_HUMN_BASE_04_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_05_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_05_36TETH_HU01.SK_HUMN_BASE_05_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_06_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_06_36TETH_HU01.SK_HUMN_BASE_06_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_07_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_07_36TETH_HU01.SK_HUMN_BASE_07_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_08_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_08_36TETH_HU01.SK_HUMN_BASE_08_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_09_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_09_36TETH_HU01.SK_HUMN_BASE_09_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_HUMN_BASE_10_36TETH_HU01,/Game/Sidekicks/Species/Humans/SK_HUMN_BASE_10_36TETH_HU01.SK_HUMN_BASE_10_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
