---,SK_Mesh,Material
SK_PIRT_CAPT_01_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_36TETH_HU01.SK_PIRT_CAPT_01_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_36TETH_HU01.SK_PIRT_CAPT_02_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_36TETH_HU01.SK_PIRT_CAPT_03_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_36TETH_HU01.SK_PIRT_CAPT_04_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_36TETH_HU01.SK_PIRT_CAPT_05_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_36TETH_HU01.SK_PIRT_CAPT_06_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_36TETH_HU01.SK_PIRT_CAPT_07_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_36TETH_HU01.SK_PIRT_CAPT_08_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_36TETH_HU01.SK_PIRT_CAPT_09_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_36TETH_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_36TETH_HU01.SK_PIRT_CAPT_10_36TETH_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
