---,SK_Mesh,Material
SK_GOBL_FIGT_01_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_01_10TORS_GO01.SK_GOBL_FIGT_01_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_02_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_02_10TORS_GO01.SK_GOBL_FIGT_02_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_03_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_03_10TORS_GO01.SK_GOBL_FIGT_03_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_04_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_04_10TORS_GO01.SK_GOBL_FIGT_04_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_05_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_05_10TORS_GO01.SK_GOBL_FIGT_05_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_06_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_06_10TORS_GO01.SK_GOBL_FIGT_06_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_07_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_07_10TORS_GO01.SK_GOBL_FIGT_07_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_08_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_08_10TORS_GO01.SK_GOBL_FIGT_08_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_09_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_09_10TORS_GO01.SK_GOBL_FIGT_09_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_GOBL_FIGT_10_10TORS_GO01,/Game/Sidekicks/Outfits/GoblinFighters/SK_GOBL_FIGT_10_10TORS_GO01.SK_GOBL_FIGT_10_10TORS_GO01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
