---,SK_Mesh,Material
SK_PIRT_CAPT_01_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_01_10TORS_HU01.SK_PIRT_CAPT_01_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_02_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_02_10TORS_HU01.SK_PIRT_CAPT_02_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_03_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_03_10TORS_HU01.SK_PIRT_CAPT_03_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_04_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_04_10TORS_HU01.SK_PIRT_CAPT_04_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_05_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_05_10TORS_HU01.SK_PIRT_CAPT_05_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_06_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_06_10TORS_HU01.SK_PIRT_CAPT_06_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_07_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_07_10TORS_HU01.SK_PIRT_CAPT_07_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_08_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_08_10TORS_HU01.SK_PIRT_CAPT_08_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_09_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_09_10TORS_HU01.SK_PIRT_CAPT_09_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
SK_PIRT_CAPT_10_10TORS_HU01,/Game/Sidekicks/Outfits/PirateCaptains/SK_PIRT_CAPT_10_10TORS_HU01.SK_PIRT_CAPT_10_10TORS_HU01,/Game/Sidekicks/Base/Textures/MI_DefaultSidekicks.MI_DefaultSidekicks
